--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
|  32 | (6.602628 , 33.806945) | 1 | (1 , 0) | (6.602628 , 33.806945) | -0.001137 | (6.601492 , 33.806945) |
|  32 |       -27.430018       | 2 | (0 , 1) | (6.601492 , 33.806945) | -0.005938 | (6.601492 , 33.801007) |
|  33 | (6.601492 , 33.801007) | 1 | (1 , 0) | (6.601492 , 33.801007) | -0.001137 | (6.600355 , 33.801007) |
|  33 |       -27.430250       | 2 | (0 , 1) | (6.600355 , 33.801007) | -0.005490 | (6.600355 , 33.795517) |
|  34 | (6.600355 , 33.795517) | 1 | (1 , 0) | (6.600355 , 33.795517) | -0.001137 | (6.599218 , 33.795517) |
|  34 |       -27.430480       | 2 | (0 , 1) | (6.599218 , 33.795517) | -0.005938 | (6.599218 , 33.789579) |
|  35 | (6.599218 , 33.789579) | 1 | (1 , 0) | (6.599218 , 33.789579) | -0.001137 | (6.598081 , 33.789579) |
|  35 |       -27.430706       | 2 | (0 , 1) | (6.598081 , 33.789579) | -0.005490 | (6.598081 , 33.784088) |
|  36 | (6.598081 , 33.784088) | 1 | (1 , 0) | (6.598081 , 33.784088) | -0.001137 | (6.596944 , 33.784088) |
|  36 |       -27.430931       | 2 | (0 , 1) | (6.596944 , 33.784088) | -0.005490 | (6.596944 , 33.778598) |
|  37 | (6.596944 , 33.778598) | 1 | (1 , 0) | (6.596944 , 33.778598) | -0.001091 | (6.595853 , 33.778598) |
|  37 |       -27.431152       | 2 | (0 , 1) | (6.595853 , 33.778598) | -0.005490 | (6.595853 , 33.773108) |
|  38 | (6.595853 , 33.773108) | 1 | (1 , 0) | (6.595853 , 33.773108) | -0.001091 | (6.594761 , 33.773108) |
|  38 |       -27.431363       | 2 | (0 , 1) | (6.594761 , 33.773108) | -0.005490 | (6.594761 , 33.767618) |
|  39 | (6.594761 , 33.767618) | 1 | (1 , 0) | (6.594761 , 33.767618) | -0.001091 | (6.593670 , 33.767618) |
|  39 |       -27.431571       | 2 | (0 , 1) | (6.593670 , 33.767618) | -0.005490 | (6.593670 , 33.762128) |
|  40 | (6.593670 , 33.762128) | 1 | (1 , 0) | (6.593670 , 33.762128) | -0.001091 | (6.592578 , 33.762128) |
